Ref_Date,GEO,EST,COM,Value
2013,British Columbia,Marketed production (metric tonnes),Celery,x
2002,British Columbia,Marketed production (metric tonnes),"Corn, sweet",11793
2003,British Columbia,Marketed production (metric tonnes),"Corn, sweet",9072
2004,British Columbia,Marketed production (metric tonnes),"Corn, sweet",9934
2005,British Columbia,Marketed production (metric tonnes),"Corn, sweet",10668
2006,British Columbia,Marketed production (metric tonnes),"Corn, sweet",10714
2007,British Columbia,Marketed production (metric tonnes),"Corn, sweet",10659
2008,British Columbia,Marketed production (metric tonnes),"Corn, sweet",10750
2009,British Columbia,Marketed production (metric tonnes),"Corn, sweet",6167
2010,British Columbia,Marketed production (metric tonnes),"Corn, sweet",5201
2011,British Columbia,Marketed production (metric tonnes),"Corn, sweet",7511
2012,British Columbia,Marketed production (metric tonnes),"Corn, sweet",7966
2013,British Columbia,Marketed production (metric tonnes),"Corn, sweet",8699
2002,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),1270
2003,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),1315
2004,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),1066
2005,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),669
2006,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),805
2007,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),748
2008,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),454
2009,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),882
2010,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),588
2011,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),964
2012,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),885
2013,British Columbia,Marketed production (metric tonnes),Cucumbers and gherkins (all varieties),981
2002,British Columbia,Marketed production (metric tonnes),Garlic,82
2003,British Columbia,Marketed production (metric tonnes),Garlic,84
2004,British Columbia,Marketed production (metric tonnes),Garlic,88
2005,British Columbia,Marketed production (metric tonnes),Garlic,25
2006,British Columbia,Marketed production (metric tonnes),Garlic,34
2007,British Columbia,Marketed production (metric tonnes),Garlic,39
2008,British Columbia,Marketed production (metric tonnes),Garlic,F
2009,British Columbia,Marketed production (metric tonnes),Garlic,43
2010,British Columbia,Marketed production (metric tonnes),Garlic,58
2011,British Columbia,Marketed production (metric tonnes),Garlic,276
2012,British Columbia,Marketed production (metric tonnes),Garlic,273
2013,British Columbia,Marketed production (metric tonnes),Garlic,263
2002,British Columbia,Marketed production (metric tonnes),Leeks,
2003,British Columbia,Marketed production (metric tonnes),Leeks,
2004,British Columbia,Marketed production (metric tonnes),Leeks,
2005,British Columbia,Marketed production (metric tonnes),Leeks,
2006,British Columbia,Marketed production (metric tonnes),Leeks,
2007,British Columbia,Marketed production (metric tonnes),Leeks,186
2008,British Columbia,Marketed production (metric tonnes),Leeks,177
2009,British Columbia,Marketed production (metric tonnes),Leeks,x
2010,British Columbia,Marketed production (metric tonnes),Leeks,F
2011,British Columbia,Marketed production (metric tonnes),Leeks,360
2012,British Columbia,Marketed production (metric tonnes),Leeks,218
2013,British Columbia,Marketed production (metric tonnes),Leeks,216
2002,British Columbia,Marketed production (metric tonnes),Lettuce,3311
2003,British Columbia,Marketed production (metric tonnes),Lettuce,4427
2004,British Columbia,Marketed production (metric tonnes),Lettuce,4082
2005,British Columbia,Marketed production (metric tonnes),Lettuce,3924
2006,British Columbia,Marketed production (metric tonnes),Lettuce,7394
2007,British Columbia,Marketed production (metric tonnes),Lettuce,3674
2008,British Columbia,Marketed production (metric tonnes),Lettuce,4064
2009,British Columbia,Marketed production (metric tonnes),Lettuce,6765
2010,British Columbia,Marketed production (metric tonnes),Lettuce,9728
2011,British Columbia,Marketed production (metric tonnes),Lettuce,6215
2012,British Columbia,Marketed production (metric tonnes),Lettuce,5208
2013,British Columbia,Marketed production (metric tonnes),Lettuce,5932
2002,British Columbia,Marketed production (metric tonnes),Dry onions,3175
2003,British Columbia,Marketed production (metric tonnes),Dry onions,2495
2004,British Columbia,Marketed production (metric tonnes),Dry onions,2790
2005,British Columbia,Marketed production (metric tonnes),Dry onions,2683
2006,British Columbia,Marketed production (metric tonnes),Dry onions,x
2007,British Columbia,Marketed production (metric tonnes),Dry onions,2948
2008,British Columbia,Marketed production (metric tonnes),Dry onions,1860
2009,British Columbia,Marketed production (metric tonnes),Dry onions,F
2010,British Columbia,Marketed production (metric tonnes),Dry onions,x
2011,British Columbia,Marketed production (metric tonnes),Dry onions,3995
2012,British Columbia,Marketed production (metric tonnes),Dry onions,4300
2013,British Columbia,Marketed production (metric tonnes),Dry onions,F
2002,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",408
2003,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",590
2004,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",465
2005,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",261
2006,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",562
2007,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",499
2008,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",454
2009,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",F
2010,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",F
2011,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",479
2012,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",F
2013,British Columbia,Marketed production (metric tonnes),"Other melons (cantaloupes, winter melons, etcetera)",1002
2002,British Columbia,Marketed production (metric tonnes),Parsley,x
2003,British Columbia,Marketed production (metric tonnes),Parsley,95
2004,British Columbia,Marketed production (metric tonnes),Parsley,122
2005,British Columbia,Marketed production (metric tonnes),Parsley,154
2006,British Columbia,Marketed production (metric tonnes),Parsley,247
2007,British Columbia,Marketed production (metric tonnes),Parsley,136
2008,British Columbia,Marketed production (metric tonnes),Parsley,159
2009,British Columbia,Marketed production (metric tonnes),Parsley,159
2010,British Columbia,Marketed production (metric tonnes),Parsley,F
2011,British Columbia,Marketed production (metric tonnes),Parsley,114
2012,British Columbia,Marketed production (metric tonnes),Parsley,130
2013,British Columbia,Marketed production (metric tonnes),Parsley,104
2002,British Columbia,Marketed production (metric tonnes),Parsnips,431
2003,British Columbia,Marketed production (metric tonnes),Parsnips,363
2004,British Columbia,Marketed production (metric tonnes),Parsnips,x
2005,British Columbia,Marketed production (metric tonnes),Parsnips,43
2006,British Columbia,Marketed production (metric tonnes),Parsnips,52
2007,British Columbia,Marketed production (metric tonnes),Parsnips,39
2008,British Columbia,Marketed production (metric tonnes),Parsnips,181
2009,British Columbia,Marketed production (metric tonnes),Parsnips,F
2010,British Columbia,Marketed production (metric tonnes),Parsnips,F
2011,British Columbia,Marketed production (metric tonnes),Parsnips,290
2012,British Columbia,Marketed production (metric tonnes),Parsnips,308
2013,British Columbia,Marketed production (metric tonnes),Parsnips,395
2002,British Columbia,Marketed production (metric tonnes),"Peas, green",5012
2003,British Columbia,Marketed production (metric tonnes),"Peas, green",2948
2004,British Columbia,Marketed production (metric tonnes),"Peas, green",4100
2005,British Columbia,Marketed production (metric tonnes),"Peas, green",3152
2006,British Columbia,Marketed production (metric tonnes),"Peas, green",2313
2007,British Columbia,Marketed production (metric tonnes),"Peas, green",3084
2008,British Columbia,Marketed production (metric tonnes),"Peas, green",3270
2009,British Columbia,Marketed production (metric tonnes),"Peas, green",2448
2010,British Columbia,Marketed production (metric tonnes),"Peas, green",1974
2011,British Columbia,Marketed production (metric tonnes),"Peas, green",1159
2012,British Columbia,Marketed production (metric tonnes),"Peas, green",2061
2013,British Columbia,Marketed production (metric tonnes),"Peas, green",2333
2002,British Columbia,Marketed production (metric tonnes),Pumpkins,
2003,British Columbia,Marketed production (metric tonnes),Pumpkins,
2004,British Columbia,Marketed production (metric tonnes),Pumpkins,
2005,British Columbia,Marketed production (metric tonnes),Pumpkins,
2006,British Columbia,Marketed production (metric tonnes),Pumpkins,
2007,British Columbia,Marketed production (metric tonnes),Pumpkins,6577
2008,British Columbia,Marketed production (metric tonnes),Pumpkins,4990
2009,British Columbia,Marketed production (metric tonnes),Pumpkins,8148
2010,British Columbia,Marketed production (metric tonnes),Pumpkins,8400
2011,British Columbia,Marketed production (metric tonnes),Pumpkins,9842
2012,British Columbia,Marketed production (metric tonnes),Pumpkins,11530
2013,British Columbia,Marketed production (metric tonnes),Pumpkins,11065
2002,British Columbia,Marketed production (metric tonnes),Shallots and green onions,
2003,British Columbia,Marketed production (metric tonnes),Shallots and green onions,
2004,British Columbia,Marketed production (metric tonnes),Shallots and green onions,
2005,British Columbia,Marketed production (metric tonnes),Shallots and green onions,
2006,British Columbia,Marketed production (metric tonnes),Shallots and green onions,
2007,British Columbia,Marketed production (metric tonnes),Shallots and green onions,454
2008,British Columbia,Marketed production (metric tonnes),Shallots and green onions,442
2009,British Columbia,Marketed production (metric tonnes),Shallots and green onions,491
2010,British Columbia,Marketed production (metric tonnes),Shallots and green onions,678
2011,British Columbia,Marketed production (metric tonnes),Shallots and green onions,760
2012,British Columbia,Marketed production (metric tonnes),Shallots and green onions,914
2013,British Columbia,Marketed production (metric tonnes),Shallots and green onions,865
2002,British Columbia,Marketed production (metric tonnes),Spinach,762
2003,British Columbia,Marketed production (metric tonnes),Spinach,1125
2004,British Columbia,Marketed production (metric tonnes),Spinach,835
2005,British Columbia,Marketed production (metric tonnes),Spinach,431
2006,British Columbia,Marketed production (metric tonnes),Spinach,499
2007,British Columbia,Marketed production (metric tonnes),Spinach,635
2008,British Columbia,Marketed production (metric tonnes),Spinach,454
2009,British Columbia,Marketed production (metric tonnes),Spinach,609
2010,British Columbia,Marketed production (metric tonnes),Spinach,869
2011,British Columbia,Marketed production (metric tonnes),Spinach,655
2012,British Columbia,Marketed production (metric tonnes),Spinach,801
2013,British Columbia,Marketed production (metric tonnes),Spinach,696
2002,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,
2003,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,
2004,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,
2005,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,
2006,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,
2007,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,3175
2008,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,2540
2009,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,4662
2010,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,4435
2011,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,3830
2012,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,5629
2013,British Columbia,Marketed production (metric tonnes),Squash and zucchinis,4765
2002,British Columbia,Marketed production (metric tonnes),Tomatoes,1089
2003,British Columbia,Marketed production (metric tonnes),Tomatoes,1089
2004,British Columbia,Marketed production (metric tonnes),Tomatoes,1470
2005,British Columbia,Marketed production (metric tonnes),Tomatoes,1161
2006,British Columbia,Marketed production (metric tonnes),Tomatoes,998
2007,British Columbia,Marketed production (metric tonnes),Tomatoes,1451
2008,British Columbia,Marketed production (metric tonnes),Tomatoes,1179
2009,British Columbia,Marketed production (metric tonnes),Tomatoes,1187
2010,British Columbia,Marketed production (metric tonnes),Tomatoes,1593
2011,British Columbia,Marketed production (metric tonnes),Tomatoes,2420
2012,British Columbia,Marketed production (metric tonnes),Tomatoes,2030
2013,British Columbia,Marketed production (metric tonnes),Tomatoes,1794
2002,British Columbia,Marketed production (metric tonnes),Peppers,998
2003,British Columbia,Marketed production (metric tonnes),Peppers,1179
2004,British Columbia,Marketed production (metric tonnes),Peppers,1225
2005,British Columbia,Marketed production (metric tonnes),Peppers,1043
2006,British Columbia,Marketed production (metric tonnes),Peppers,1247
2007,British Columbia,Marketed production (metric tonnes),Peppers,1270
2008,British Columbia,Marketed production (metric tonnes),Peppers,x
2009,British Columbia,Marketed production (metric tonnes),Peppers,2007
2010,British Columbia,Marketed production (metric tonnes),Peppers,2235
2011,British Columbia,Marketed production (metric tonnes),Peppers,2451
2012,British Columbia,Marketed production (metric tonnes),Peppers,2479
2013,British Columbia,Marketed production (metric tonnes),Peppers,2304
2002,British Columbia,Marketed production (metric tonnes),Radishes,277
2003,British Columbia,Marketed production (metric tonnes),Radishes,426
2004,British Columbia,Marketed production (metric tonnes),Radishes,363
2005,British Columbia,Marketed production (metric tonnes),Radishes,408
2006,British Columbia,Marketed production (metric tonnes),Radishes,531
2007,British Columbia,Marketed production (metric tonnes),Radishes,590
2008,British Columbia,Marketed production (metric tonnes),Radishes,499
2009,British Columbia,Marketed production (metric tonnes),Radishes,653
2010,British Columbia,Marketed production (metric tonnes),Radishes,529
2011,British Columbia,Marketed production (metric tonnes),Radishes,635
2012,British Columbia,Marketed production (metric tonnes),Radishes,595
2013,British Columbia,Marketed production (metric tonnes),Radishes,611
2002,British Columbia,Marketed production (metric tonnes),Rhubarb,907
2003,British Columbia,Marketed production (metric tonnes),Rhubarb,379
2004,British Columbia,Marketed production (metric tonnes),Rhubarb,386
2005,British Columbia,Marketed production (metric tonnes),Rhubarb,787
2006,British Columbia,Marketed production (metric tonnes),Rhubarb,835
2007,British Columbia,Marketed production (metric tonnes),Rhubarb,885
2008,British Columbia,Marketed production (metric tonnes),Rhubarb,617
2009,British Columbia,Marketed production (metric tonnes),Rhubarb,F
2010,British Columbia,Marketed production (metric tonnes),Rhubarb,F
2011,British Columbia,Marketed production (metric tonnes),Rhubarb,744
2012,British Columbia,Marketed production (metric tonnes),Rhubarb,797
2013,British Columbia,Marketed production (metric tonnes),Rhubarb,x
2002,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,2268
2003,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,1724
2004,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,2336
2005,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,1835
2006,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,1565
2007,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,1134
2008,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,1984
2009,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,F
2010,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,1638
2011,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,2421
2012,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,1497
2013,British Columbia,Marketed production (metric tonnes),Rutabagas and turnips,2555
2002,British Columbia,Marketed production (metric tonnes),Watermelon,x
2003,British Columbia,Marketed production (metric tonnes),Watermelon,204
2004,British Columbia,Marketed production (metric tonnes),Watermelon,465
2005,British Columbia,Marketed production (metric tonnes),Watermelon,329
2006,British Columbia,Marketed production (metric tonnes),Watermelon,408
2007,British Columbia,Marketed production (metric tonnes),Watermelon,304
2008,British Columbia,Marketed production (metric tonnes),Watermelon,136
2009,British Columbia,Marketed production (metric tonnes),Watermelon,218
2010,British Columbia,Marketed production (metric tonnes),Watermelon,F
2011,British Columbia,Marketed production (metric tonnes),Watermelon,293
2012,British Columbia,Marketed production (metric tonnes),Watermelon,128
2013,British Columbia,Marketed production (metric tonnes),Watermelon,258
2002,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2003,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2004,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2005,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2006,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2007,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2008,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2009,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2010,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",
2011,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",..
2012,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",..
2013,British Columbia,Marketed production (metric tonnes),"Cabbage, Chinese (bok-choy, napa, etcetera)",..
2002,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2003,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2004,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2005,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2006,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2007,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2008,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2009,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2010,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",
2011,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",..
2012,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",..
2013,British Columbia,Marketed production (metric tonnes),"Cabbage, regular",..
