Ref_Date,GEO,EST,COM,UOFM,Value
2011,British Columbia,"Cultivated area, total","Grapes, labrusca (table)",Hectares,..
2012,British Columbia,"Cultivated area, total","Grapes, labrusca (table)",Hectares,..
2013,British Columbia,"Cultivated area, total","Grapes, labrusca (table)",Hectares,..
2002,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2003,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2004,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2005,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2006,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2007,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2008,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2009,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2010,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,
2011,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,..
2012,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,..
2013,British Columbia,"Cultivated area, total","Grapes, vinifera (wine)",Hectares,..
2002,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2003,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2004,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2005,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2006,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2007,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2008,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2009,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2010,British Columbia,"Cultivated area, total",Other fruits,Hectares,
2011,British Columbia,"Cultivated area, total",Other fruits,Hectares,..
2012,British Columbia,"Cultivated area, total",Other fruits,Hectares,..
2013,British Columbia,"Cultivated area, total",Other fruits,Hectares,..
