Ref_Date,GEO,PRO,COM,Value
2011/08,Canada,Seed crushed,Canola (rapeseed),445297
2011/09,Canada,Seed crushed,Canola (rapeseed),590938
2011/10,Canada,Seed crushed,Canola (rapeseed),589444
2011/11,Canada,Seed crushed,Canola (rapeseed),602500
2011/12,Canada,Seed crushed,Canola (rapeseed),673070
2012/01,Canada,Seed crushed,Canola (rapeseed),636670
2012/02,Canada,Seed crushed,Canola (rapeseed),591728
2012/03,Canada,Seed crushed,Canola (rapeseed),667847
2012/04,Canada,Seed crushed,Canola (rapeseed),614015
2012/05,Canada,Seed crushed,Canola (rapeseed),523548
2012/06,Canada,Seed crushed,Canola (rapeseed),479146
2012/07,Canada,Seed crushed,Canola (rapeseed),585113
2012/08,Canada,Seed crushed,Canola (rapeseed),489884
2012/09,Canada,Seed crushed,Canola (rapeseed),631585
2012/10,Canada,Seed crushed,Canola (rapeseed),664261
2012/11,Canada,Seed crushed,Canola (rapeseed),588045
2012/12,Canada,Seed crushed,Canola (rapeseed),658729
2013/01,Canada,Seed crushed,Canola (rapeseed),560835
2013/02,Canada,Seed crushed,Canola (rapeseed),527914
2013/03,Canada,Seed crushed,Canola (rapeseed),593001
2013/04,Canada,Seed crushed,Canola (rapeseed),577811
2013/05,Canada,Seed crushed,Canola (rapeseed),445063
2013/06,Canada,Seed crushed,Canola (rapeseed),478213
2013/07,Canada,Seed crushed,Canola (rapeseed),501467
2013/08,Canada,Seed crushed,Canola (rapeseed),357507
2013/09,Canada,Seed crushed,Canola (rapeseed),558910
2013/10,Canada,Seed crushed,Canola (rapeseed),639261
2013/11,Canada,Seed crushed,Canola (rapeseed),614566
2013/12,Canada,Seed crushed,Canola (rapeseed),642785
2014/01,Canada,Seed crushed,Canola (rapeseed),597110
2014/02,Canada,Seed crushed,Canola (rapeseed),537724
2014/03,Canada,Seed crushed,Canola (rapeseed),618150
2014/04,Canada,Seed crushed,Canola (rapeseed),580606
2014/05,Canada,Seed crushed,Canola (rapeseed),577177
2014/06,Canada,Seed crushed,Canola (rapeseed),574816
2014/07,Canada,Seed crushed,Canola (rapeseed),680808
2014/08,Canada,Seed crushed,Canola (rapeseed),553932
2014/09,Canada,Seed crushed,Canola (rapeseed),627855
2014/10,Canada,Seed crushed,Canola (rapeseed),616037
2014/11,Canada,Seed crushed,Canola (rapeseed),539705
2014/12,Canada,Seed crushed,Canola (rapeseed),640924
2015/01,Canada,Seed crushed,Canola (rapeseed),652073
2015/02,Canada,Seed crushed,Canola (rapeseed),557270
2015/03,Canada,Seed crushed,Canola (rapeseed),669593
2015/04,Canada,Seed crushed,Canola (rapeseed),598907
2015/05,Canada,Seed crushed,Canola (rapeseed),574645
2015/06,Canada,Seed crushed,Canola (rapeseed),633874
2015/07,Canada,Seed crushed,Canola (rapeseed),695552
2015/08,Canada,Seed crushed,Canola (rapeseed),589387
2015/09,Canada,Seed crushed,Canola (rapeseed),611691
2015/10,Canada,Seed crushed,Canola (rapeseed),719710
2015/11,Canada,Seed crushed,Canola (rapeseed),691136
2015/12,Canada,Seed crushed,Canola (rapeseed),744196
2016/01,Canada,Seed crushed,Canola (rapeseed),683823
2016/02,Canada,Seed crushed,Canola (rapeseed),710270
2016/03,Canada,Seed crushed,Canola (rapeseed),751258
2016/04,Canada,Seed crushed,Canola (rapeseed),613249
2016/05,Canada,Seed crushed,Canola (rapeseed),707325
2016/06,Canada,Seed crushed,Canola (rapeseed),702716
2016/07,Canada,Seed crushed,Canola (rapeseed),790590
2016/08,Canada,Seed crushed,Canola (rapeseed),665347
2016/09,Canada,Seed crushed,Canola (rapeseed),779251
2016/10,Canada,Seed crushed,Canola (rapeseed),808721
2016/11,Canada,Seed crushed,Canola (rapeseed),804948
2016/12,Canada,Seed crushed,Canola (rapeseed),831590
2017/01,Canada,Seed crushed,Canola (rapeseed),798373
2017/02,Canada,Seed crushed,Canola (rapeseed),752205
2017/03,Canada,Seed crushed,Canola (rapeseed),821990
2017/04,Canada,Seed crushed,Canola (rapeseed),747528
2017/05,Canada,Seed crushed,Canola (rapeseed),703352
2017/06,Canada,Seed crushed,Canola (rapeseed),731124
2017/07,Canada,Seed crushed,Canola (rapeseed),746944
2017/08,Canada,Seed crushed,Canola (rapeseed),628918
2017/09,Canada,Seed crushed,Canola (rapeseed),748629
2017/10,Canada,Seed crushed,Canola (rapeseed),870998
2017/11,Canada,Seed crushed,Canola (rapeseed),805945
1971/01,Canada,Seed crushed,Soybeans,
1971/02,Canada,Seed crushed,Soybeans,
1971/03,Canada,Seed crushed,Soybeans,
1971/04,Canada,Seed crushed,Soybeans,
1971/05,Canada,Seed crushed,Soybeans,
1971/06,Canada,Seed crushed,Soybeans,
1971/07,Canada,Seed crushed,Soybeans,
1971/08,Canada,Seed crushed,Soybeans,54753
1971/09,Canada,Seed crushed,Soybeans,53507
1971/10,Canada,Seed crushed,Soybeans,62493
1971/11,Canada,Seed crushed,Soybeans,63843
1971/12,Canada,Seed crushed,Soybeans,57309
1972/01,Canada,Seed crushed,Soybeans,47507
1972/02,Canada,Seed crushed,Soybeans,44802
1972/03,Canada,Seed crushed,Soybeans,42767
1972/04,Canada,Seed crushed,Soybeans,44436
1972/05,Canada,Seed crushed,Soybeans,59702
1972/06,Canada,Seed crushed,Soybeans,58283
1972/07,Canada,Seed crushed,Soybeans,45100
1972/08,Canada,Seed crushed,Soybeans,42443
1972/09,Canada,Seed crushed,Soybeans,38952
1972/10,Canada,Seed crushed,Soybeans,54553
1972/11,Canada,Seed crushed,Soybeans,69676
1972/12,Canada,Seed crushed,Soybeans,65499
1973/01,Canada,Seed crushed,Soybeans,56732
1973/02,Canada,Seed crushed,Soybeans,55994
1973/03,Canada,Seed crushed,Soybeans,56828
1973/04,Canada,Seed crushed,Soybeans,42405
1973/05,Canada,Seed crushed,Soybeans,52084
1973/06,Canada,Seed crushed,Soybeans,45118
1973/07,Canada,Seed crushed,Soybeans,32264
1973/08,Canada,Seed crushed,Soybeans,30079
1973/09,Canada,Seed crushed,Soybeans,21522
1973/10,Canada,Seed crushed,Soybeans,52089
1973/11,Canada,Seed crushed,Soybeans,61211
1973/12,Canada,Seed crushed,Soybeans,51633
1974/01,Canada,Seed crushed,Soybeans,60729
1974/02,Canada,Seed crushed,Soybeans,59407
1974/03,Canada,Seed crushed,Soybeans,52017
1974/04,Canada,Seed crushed,Soybeans,55377
1974/05,Canada,Seed crushed,Soybeans,71736
1974/06,Canada,Seed crushed,Soybeans,62037
1974/07,Canada,Seed crushed,Soybeans,64467
1974/08,Canada,Seed crushed,Soybeans,59473
1974/09,Canada,Seed crushed,Soybeans,42571
1974/10,Canada,Seed crushed,Soybeans,68041
1974/11,Canada,Seed crushed,Soybeans,66063
1974/12,Canada,Seed crushed,Soybeans,54333
1975/01,Canada,Seed crushed,Soybeans,55768
1975/02,Canada,Seed crushed,Soybeans,44735
1975/03,Canada,Seed crushed,Soybeans,41785
1975/04,Canada,Seed crushed,Soybeans,53228
1975/05,Canada,Seed crushed,Soybeans,57069
1975/06,Canada,Seed crushed,Soybeans,46119
1975/07,Canada,Seed crushed,Soybeans,45918
1975/08,Canada,Seed crushed,Soybeans,60391
1975/09,Canada,Seed crushed,Soybeans,52086
1975/10,Canada,Seed crushed,Soybeans,72228
1975/11,Canada,Seed crushed,Soybeans,71206
1975/12,Canada,Seed crushed,Soybeans,64660
1976/01,Canada,Seed crushed,Soybeans,56922
1976/02,Canada,Seed crushed,Soybeans,55256
1976/03,Canada,Seed crushed,Soybeans,56990
1976/04,Canada,Seed crushed,Soybeans,57814
1976/05,Canada,Seed crushed,Soybeans,66647
1976/06,Canada,Seed crushed,Soybeans,59926
1976/07,Canada,Seed crushed,Soybeans,48855
1976/08,Canada,Seed crushed,Soybeans,50676
1976/09,Canada,Seed crushed,Soybeans,46052
1976/10,Canada,Seed crushed,Soybeans,66664
1976/11,Canada,Seed crushed,Soybeans,69886
1976/12,Canada,Seed crushed,Soybeans,59568
1977/01,Canada,Seed crushed,Soybeans,61076
1977/02,Canada,Seed crushed,Soybeans,51119
1977/03,Canada,Seed crushed,Soybeans,55392
1977/04,Canada,Seed crushed,Soybeans,52051
1977/05,Canada,Seed crushed,Soybeans,59507
1977/06,Canada,Seed crushed,Soybeans,63686
1977/07,Canada,Seed crushed,Soybeans,49315
1977/08,Canada,Seed crushed,Soybeans,51206
1977/09,Canada,Seed crushed,Soybeans,44190
1977/10,Canada,Seed crushed,Soybeans,64034
1977/11,Canada,Seed crushed,Soybeans,70755
1977/12,Canada,Seed crushed,Soybeans,67493
1978/01,Canada,Seed crushed,Soybeans,67569
1978/02,Canada,Seed crushed,Soybeans,59242
1978/03,Canada,Seed crushed,Soybeans,67312
1978/04,Canada,Seed crushed,Soybeans,53231
1978/05,Canada,Seed crushed,Soybeans,65260
1978/06,Canada,Seed crushed,Soybeans,63427
1978/07,Canada,Seed crushed,Soybeans,54715
1978/08,Canada,Seed crushed,Soybeans,56742
1978/09,Canada,Seed crushed,Soybeans,50059
1978/10,Canada,Seed crushed,Soybeans,69642
1978/11,Canada,Seed crushed,Soybeans,64383
1978/12,Canada,Seed crushed,Soybeans,63894
1979/01,Canada,Seed crushed,Soybeans,69799
1979/02,Canada,Seed crushed,Soybeans,60034
1979/03,Canada,Seed crushed,Soybeans,69544
1979/04,Canada,Seed crushed,Soybeans,62805
1979/05,Canada,Seed crushed,Soybeans,67106
1979/06,Canada,Seed crushed,Soybeans,57132
1979/07,Canada,Seed crushed,Soybeans,51468
1979/08,Canada,Seed crushed,Soybeans,62598
1979/09,Canada,Seed crushed,Soybeans,55577
1979/10,Canada,Seed crushed,Soybeans,68692
1979/11,Canada,Seed crushed,Soybeans,87611
1979/12,Canada,Seed crushed,Soybeans,79009
1980/01,Canada,Seed crushed,Soybeans,85680
1980/02,Canada,Seed crushed,Soybeans,79975
1980/03,Canada,Seed crushed,Soybeans,78562
1980/04,Canada,Seed crushed,Soybeans,87846
1980/05,Canada,Seed crushed,Soybeans,86157
1980/06,Canada,Seed crushed,Soybeans,84234
1980/07,Canada,Seed crushed,Soybeans,82503
1980/08,Canada,Seed crushed,Soybeans,77179
1980/09,Canada,Seed crushed,Soybeans,74665
1980/10,Canada,Seed crushed,Soybeans,87060
1980/11,Canada,Seed crushed,Soybeans,93896
1980/12,Canada,Seed crushed,Soybeans,93032
1981/01,Canada,Seed crushed,Soybeans,85465
1981/02,Canada,Seed crushed,Soybeans,78255
1981/03,Canada,Seed crushed,Soybeans,75634
1981/04,Canada,Seed crushed,Soybeans,79869
1981/05,Canada,Seed crushed,Soybeans,68944
1981/06,Canada,Seed crushed,Soybeans,60455
1981/07,Canada,Seed crushed,Soybeans,55236
1981/08,Canada,Seed crushed,Soybeans,45478
1981/09,Canada,Seed crushed,Soybeans,51303
1981/10,Canada,Seed crushed,Soybeans,91413
1981/11,Canada,Seed crushed,Soybeans,88095
1981/12,Canada,Seed crushed,Soybeans,86416
1982/01,Canada,Seed crushed,Soybeans,82619
1982/02,Canada,Seed crushed,Soybeans,79312
1982/03,Canada,Seed crushed,Soybeans,87943
1982/04,Canada,Seed crushed,Soybeans,82688
1982/05,Canada,Seed crushed,Soybeans,91443
1982/06,Canada,Seed crushed,Soybeans,86801
1982/07,Canada,Seed crushed,Soybeans,88394
1982/08,Canada,Seed crushed,Soybeans,69596
1982/09,Canada,Seed crushed,Soybeans,76515
1982/10,Canada,Seed crushed,Soybeans,99320
1982/11,Canada,Seed crushed,Soybeans,92400
1982/12,Canada,Seed crushed,Soybeans,89905
1983/01,Canada,Seed crushed,Soybeans,95965
1983/02,Canada,Seed crushed,Soybeans,91388
1983/03,Canada,Seed crushed,Soybeans,92689
1983/04,Canada,Seed crushed,Soybeans,90694
1983/05,Canada,Seed crushed,Soybeans,87843
1983/06,Canada,Seed crushed,Soybeans,84288
1983/07,Canada,Seed crushed,Soybeans,72621
1983/08,Canada,Seed crushed,Soybeans,55360
1983/09,Canada,Seed crushed,Soybeans,84931
1983/10,Canada,Seed crushed,Soybeans,85957
1983/11,Canada,Seed crushed,Soybeans,85531
1983/12,Canada,Seed crushed,Soybeans,92191
1984/01,Canada,Seed crushed,Soybeans,84309
1984/02,Canada,Seed crushed,Soybeans,71696
1984/03,Canada,Seed crushed,Soybeans,74915
1984/04,Canada,Seed crushed,Soybeans,77875
1984/05,Canada,Seed crushed,Soybeans,82339
1984/06,Canada,Seed crushed,Soybeans,78891
1984/07,Canada,Seed crushed,Soybeans,63210
1984/08,Canada,Seed crushed,Soybeans,52608
1984/09,Canada,Seed crushed,Soybeans,64140
1984/10,Canada,Seed crushed,Soybeans,64125
1984/11,Canada,Seed crushed,Soybeans,65547
1984/12,Canada,Seed crushed,Soybeans,104744
1985/01,Canada,Seed crushed,Soybeans,85403
1985/02,Canada,Seed crushed,Soybeans,77386
1985/03,Canada,Seed crushed,Soybeans,92024
1985/04,Canada,Seed crushed,Soybeans,87080
1985/05,Canada,Seed crushed,Soybeans,85721
1985/06,Canada,Seed crushed,Soybeans,84898
1985/07,Canada,Seed crushed,Soybeans,64599
1985/08,Canada,Seed crushed,Soybeans,58423
1985/09,Canada,Seed crushed,Soybeans,58230
1985/10,Canada,Seed crushed,Soybeans,70040
1985/11,Canada,Seed crushed,Soybeans,71086
1985/12,Canada,Seed crushed,Soybeans,70964
1986/01,Canada,Seed crushed,Soybeans,86282
1986/02,Canada,Seed crushed,Soybeans,65934
1986/03,Canada,Seed crushed,Soybeans,89701
1986/04,Canada,Seed crushed,Soybeans,92645
1986/05,Canada,Seed crushed,Soybeans,96200
1986/06,Canada,Seed crushed,Soybeans,78880
1986/07,Canada,Seed crushed,Soybeans,55241
1986/08,Canada,Seed crushed,Soybeans,67510
1986/09,Canada,Seed crushed,Soybeans,52208
1986/10,Canada,Seed crushed,Soybeans,84745
1986/11,Canada,Seed crushed,Soybeans,90136
1986/12,Canada,Seed crushed,Soybeans,104380
1987/01,Canada,Seed crushed,Soybeans,85381
1987/02,Canada,Seed crushed,Soybeans,66991
1987/03,Canada,Seed crushed,Soybeans,96691
1987/04,Canada,Seed crushed,Soybeans,84808
1987/05,Canada,Seed crushed,Soybeans,64476
1987/06,Canada,Seed crushed,Soybeans,86182
1987/07,Canada,Seed crushed,Soybeans,69109
1987/08,Canada,Seed crushed,Soybeans,81976
1987/09,Canada,Seed crushed,Soybeans,73115
1987/10,Canada,Seed crushed,Soybeans,90448
1987/11,Canada,Seed crushed,Soybeans,85699
1987/12,Canada,Seed crushed,Soybeans,81431
1988/01,Canada,Seed crushed,Soybeans,83340
1988/02,Canada,Seed crushed,Soybeans,81111
1988/03,Canada,Seed crushed,Soybeans,79618
1988/04,Canada,Seed crushed,Soybeans,83346
1988/05,Canada,Seed crushed,Soybeans,80689
1988/06,Canada,Seed crushed,Soybeans,71258
1988/07,Canada,Seed crushed,Soybeans,65826
1988/08,Canada,Seed crushed,Soybeans,61394
1988/09,Canada,Seed crushed,Soybeans,63083
1988/10,Canada,Seed crushed,Soybeans,83900
1988/11,Canada,Seed crushed,Soybeans,78671
1988/12,Canada,Seed crushed,Soybeans,75973
1989/01,Canada,Seed crushed,Soybeans,78652
1989/02,Canada,Seed crushed,Soybeans,71501
1989/03,Canada,Seed crushed,Soybeans,74289
1989/04,Canada,Seed crushed,Soybeans,69554
1989/05,Canada,Seed crushed,Soybeans,75558
1989/06,Canada,Seed crushed,Soybeans,65948
1989/07,Canada,Seed crushed,Soybeans,56286
1989/08,Canada,Seed crushed,Soybeans,66957
1989/09,Canada,Seed crushed,Soybeans,64667
1989/10,Canada,Seed crushed,Soybeans,93822
1989/11,Canada,Seed crushed,Soybeans,106257
1989/12,Canada,Seed crushed,Soybeans,92552
1990/01,Canada,Seed crushed,Soybeans,100481
1990/02,Canada,Seed crushed,Soybeans,93260
1990/03,Canada,Seed crushed,Soybeans,104351
1990/04,Canada,Seed crushed,Soybeans,90183
1990/05,Canada,Seed crushed,Soybeans,107463
1990/06,Canada,Seed crushed,Soybeans,92889
1990/07,Canada,Seed crushed,Soybeans,89156
1990/08,Canada,Seed crushed,Soybeans,68874
1990/09,Canada,Seed crushed,Soybeans,73854
1990/10,Canada,Seed crushed,Soybeans,84696
1990/11,Canada,Seed crushed,Soybeans,85533
1990/12,Canada,Seed crushed,Soybeans,92723
1991/01,Canada,Seed crushed,Soybeans,78932
1991/02,Canada,Seed crushed,Soybeans,76204
1991/03,Canada,Seed crushed,Soybeans,80880
1991/04,Canada,Seed crushed,Soybeans,72359
1991/05,Canada,Seed crushed,Soybeans,74952
1991/06,Canada,Seed crushed,Soybeans,74991
1991/07,Canada,Seed crushed,Soybeans,71481
1991/08,Canada,Seed crushed,Soybeans,77324
1991/09,Canada,Seed crushed,Soybeans,79892
1991/10,Canada,Seed crushed,Soybeans,85948
1991/11,Canada,Seed crushed,Soybeans,82735
1991/12,Canada,Seed crushed,Soybeans,87867
1992/01,Canada,Seed crushed,Soybeans,83506
1992/02,Canada,Seed crushed,Soybeans,82958
1992/03,Canada,Seed crushed,Soybeans,69430
1992/04,Canada,Seed crushed,Soybeans,x
1992/05,Canada,Seed crushed,Soybeans,x
1992/06,Canada,Seed crushed,Soybeans,x
1992/07,Canada,Seed crushed,Soybeans,x
1992/08,Canada,Seed crushed,Soybeans,x
1992/09,Canada,Seed crushed,Soybeans,x
1992/10,Canada,Seed crushed,Soybeans,x
1992/11,Canada,Seed crushed,Soybeans,x
1992/12,Canada,Seed crushed,Soybeans,x
1993/01,Canada,Seed crushed,Soybeans,x
1993/02,Canada,Seed crushed,Soybeans,x
1993/03,Canada,Seed crushed,Soybeans,x
1993/04,Canada,Seed crushed,Soybeans,x
1993/05,Canada,Seed crushed,Soybeans,x
1993/06,Canada,Seed crushed,Soybeans,x
1993/07,Canada,Seed crushed,Soybeans,x
1993/08,Canada,Seed crushed,Soybeans,x
1993/09,Canada,Seed crushed,Soybeans,x
1993/10,Canada,Seed crushed,Soybeans,x
1993/11,Canada,Seed crushed,Soybeans,x
1993/12,Canada,Seed crushed,Soybeans,x
1994/01,Canada,Seed crushed,Soybeans,x
1994/02,Canada,Seed crushed,Soybeans,x
1994/03,Canada,Seed crushed,Soybeans,x
1994/04,Canada,Seed crushed,Soybeans,x
1994/05,Canada,Seed crushed,Soybeans,x
1994/06,Canada,Seed crushed,Soybeans,x
1994/07,Canada,Seed crushed,Soybeans,x
1994/08,Canada,Seed crushed,Soybeans,x
1994/09,Canada,Seed crushed,Soybeans,x
1994/10,Canada,Seed crushed,Soybeans,x
1994/11,Canada,Seed crushed,Soybeans,x
1994/12,Canada,Seed crushed,Soybeans,x
1995/01,Canada,Seed crushed,Soybeans,x
1995/02,Canada,Seed crushed,Soybeans,x
1995/03,Canada,Seed crushed,Soybeans,x
1995/04,Canada,Seed crushed,Soybeans,x
1995/05,Canada,Seed crushed,Soybeans,x
1995/06,Canada,Seed crushed,Soybeans,x
1995/07,Canada,Seed crushed,Soybeans,x
1995/08,Canada,Seed crushed,Soybeans,x
1995/09,Canada,Seed crushed,Soybeans,x
1995/10,Canada,Seed crushed,Soybeans,x
1995/11,Canada,Seed crushed,Soybeans,x
1995/12,Canada,Seed crushed,Soybeans,x
1996/01,Canada,Seed crushed,Soybeans,x
1996/02,Canada,Seed crushed,Soybeans,x
1996/03,Canada,Seed crushed,Soybeans,x
1996/04,Canada,Seed crushed,Soybeans,x
1996/05,Canada,Seed crushed,Soybeans,x
1996/06,Canada,Seed crushed,Soybeans,x
1996/07,Canada,Seed crushed,Soybeans,x
1996/08,Canada,Seed crushed,Soybeans,x
1996/09,Canada,Seed crushed,Soybeans,x
1996/10,Canada,Seed crushed,Soybeans,x
1996/11,Canada,Seed crushed,Soybeans,x
1996/12,Canada,Seed crushed,Soybeans,x
1997/01,Canada,Seed crushed,Soybeans,x
1997/02,Canada,Seed crushed,Soybeans,x
1997/03,Canada,Seed crushed,Soybeans,x
1997/04,Canada,Seed crushed,Soybeans,x
1997/05,Canada,Seed crushed,Soybeans,x
1997/06,Canada,Seed crushed,Soybeans,x
1997/07,Canada,Seed crushed,Soybeans,x
1997/08,Canada,Seed crushed,Soybeans,x
1997/09,Canada,Seed crushed,Soybeans,x
1997/10,Canada,Seed crushed,Soybeans,x
1997/11,Canada,Seed crushed,Soybeans,x
1997/12,Canada,Seed crushed,Soybeans,x
1998/01,Canada,Seed crushed,Soybeans,x
1998/02,Canada,Seed crushed,Soybeans,x
1998/03,Canada,Seed crushed,Soybeans,x
1998/04,Canada,Seed crushed,Soybeans,x
1998/05,Canada,Seed crushed,Soybeans,x
1998/06,Canada,Seed crushed,Soybeans,x
1998/07,Canada,Seed crushed,Soybeans,x
1998/08,Canada,Seed crushed,Soybeans,x
1998/09,Canada,Seed crushed,Soybeans,x
1998/10,Canada,Seed crushed,Soybeans,x
1998/11,Canada,Seed crushed,Soybeans,x
1998/12,Canada,Seed crushed,Soybeans,x
1999/01,Canada,Seed crushed,Soybeans,x
1999/02,Canada,Seed crushed,Soybeans,x
1999/03,Canada,Seed crushed,Soybeans,x
1999/04,Canada,Seed crushed,Soybeans,x
1999/05,Canada,Seed crushed,Soybeans,x
1999/06,Canada,Seed crushed,Soybeans,x
1999/07,Canada,Seed crushed,Soybeans,x
1999/08,Canada,Seed crushed,Soybeans,x
1999/09,Canada,Seed crushed,Soybeans,x
1999/10,Canada,Seed crushed,Soybeans,x
1999/11,Canada,Seed crushed,Soybeans,x
1999/12,Canada,Seed crushed,Soybeans,x
2000/01,Canada,Seed crushed,Soybeans,x
2000/02,Canada,Seed crushed,Soybeans,x
2000/03,Canada,Seed crushed,Soybeans,x
2000/04,Canada,Seed crushed,Soybeans,x
2000/05,Canada,Seed crushed,Soybeans,x
2000/06,Canada,Seed crushed,Soybeans,x
2000/07,Canada,Seed crushed,Soybeans,x
2000/08,Canada,Seed crushed,Soybeans,x
2000/09,Canada,Seed crushed,Soybeans,x
2000/10,Canada,Seed crushed,Soybeans,x
2000/11,Canada,Seed crushed,Soybeans,x
2000/12,Canada,Seed crushed,Soybeans,x
2001/01,Canada,Seed crushed,Soybeans,x
2001/02,Canada,Seed crushed,Soybeans,x
2001/03,Canada,Seed crushed,Soybeans,x
2001/04,Canada,Seed crushed,Soybeans,x
2001/05,Canada,Seed crushed,Soybeans,x
2001/06,Canada,Seed crushed,Soybeans,x
2001/07,Canada,Seed crushed,Soybeans,x
2001/08,Canada,Seed crushed,Soybeans,x
2001/09,Canada,Seed crushed,Soybeans,x
2001/10,Canada,Seed crushed,Soybeans,x
2001/11,Canada,Seed crushed,Soybeans,x
2001/12,Canada,Seed crushed,Soybeans,x
2002/01,Canada,Seed crushed,Soybeans,x
2002/02,Canada,Seed crushed,Soybeans,x
2002/03,Canada,Seed crushed,Soybeans,x
2002/04,Canada,Seed crushed,Soybeans,x
2002/05,Canada,Seed crushed,Soybeans,x
2002/06,Canada,Seed crushed,Soybeans,x
2002/07,Canada,Seed crushed,Soybeans,x
2002/08,Canada,Seed crushed,Soybeans,x
2002/09,Canada,Seed crushed,Soybeans,x
2002/10,Canada,Seed crushed,Soybeans,x
2002/11,Canada,Seed crushed,Soybeans,x
2002/12,Canada,Seed crushed,Soybeans,x
2003/01,Canada,Seed crushed,Soybeans,x
2003/02,Canada,Seed crushed,Soybeans,x
2003/03,Canada,Seed crushed,Soybeans,x
2003/04,Canada,Seed crushed,Soybeans,x
2003/05,Canada,Seed crushed,Soybeans,x
2003/06,Canada,Seed crushed,Soybeans,x
2003/07,Canada,Seed crushed,Soybeans,x
2003/08,Canada,Seed crushed,Soybeans,x
2003/09,Canada,Seed crushed,Soybeans,x
2003/10,Canada,Seed crushed,Soybeans,x
2003/11,Canada,Seed crushed,Soybeans,x
2003/12,Canada,Seed crushed,Soybeans,x
2004/01,Canada,Seed crushed,Soybeans,x
2004/02,Canada,Seed crushed,Soybeans,x
2004/03,Canada,Seed crushed,Soybeans,x
2004/04,Canada,Seed crushed,Soybeans,x
2004/05,Canada,Seed crushed,Soybeans,x
2004/06,Canada,Seed crushed,Soybeans,x
2004/07,Canada,Seed crushed,Soybeans,x
2004/08,Canada,Seed crushed,Soybeans,x
2004/09,Canada,Seed crushed,Soybeans,x
2004/10,Canada,Seed crushed,Soybeans,x
2004/11,Canada,Seed crushed,Soybeans,x
2004/12,Canada,Seed crushed,Soybeans,x
2005/01,Canada,Seed crushed,Soybeans,x
2005/02,Canada,Seed crushed,Soybeans,x
2005/03,Canada,Seed crushed,Soybeans,x
2005/04,Canada,Seed crushed,Soybeans,x
2005/05,Canada,Seed crushed,Soybeans,x
2005/06,Canada,Seed crushed,Soybeans,x
2005/07,Canada,Seed crushed,Soybeans,x
2005/08,Canada,Seed crushed,Soybeans,x
2005/09,Canada,Seed crushed,Soybeans,x
2005/10,Canada,Seed crushed,Soybeans,x
2005/11,Canada,Seed crushed,Soybeans,x
2005/12,Canada,Seed crushed,Soybeans,x
2006/01,Canada,Seed crushed,Soybeans,x
2006/02,Canada,Seed crushed,Soybeans,x
2006/03,Canada,Seed crushed,Soybeans,x
2006/04,Canada,Seed crushed,Soybeans,x
2006/05,Canada,Seed crushed,Soybeans,x
2006/06,Canada,Seed crushed,Soybeans,x
2006/07,Canada,Seed crushed,Soybeans,x
2006/08,Canada,Seed crushed,Soybeans,x
2006/09,Canada,Seed crushed,Soybeans,x
2006/10,Canada,Seed crushed,Soybeans,x
2006/11,Canada,Seed crushed,Soybeans,x
2006/12,Canada,Seed crushed,Soybeans,x
2007/01,Canada,Seed crushed,Soybeans,x
2007/02,Canada,Seed crushed,Soybeans,x
2007/03,Canada,Seed crushed,Soybeans,x
2007/04,Canada,Seed crushed,Soybeans,x
2007/05,Canada,Seed crushed,Soybeans,x
2007/06,Canada,Seed crushed,Soybeans,x
2007/07,Canada,Seed crushed,Soybeans,x
2007/08,Canada,Seed crushed,Soybeans,x
2007/09,Canada,Seed crushed,Soybeans,x
2007/10,Canada,Seed crushed,Soybeans,x
2007/11,Canada,Seed crushed,Soybeans,x
2007/12,Canada,Seed crushed,Soybeans,x
2008/01,Canada,Seed crushed,Soybeans,x
2008/02,Canada,Seed crushed,Soybeans,x
2008/03,Canada,Seed crushed,Soybeans,x
2008/04,Canada,Seed crushed,Soybeans,x
2008/05,Canada,Seed crushed,Soybeans,x
2008/06,Canada,Seed crushed,Soybeans,x
2008/07,Canada,Seed crushed,Soybeans,x
2008/08,Canada,Seed crushed,Soybeans,x
2008/09,Canada,Seed crushed,Soybeans,x
2008/10,Canada,Seed crushed,Soybeans,x
2008/11,Canada,Seed crushed,Soybeans,x
2008/12,Canada,Seed crushed,Soybeans,x
2009/01,Canada,Seed crushed,Soybeans,x
2009/02,Canada,Seed crushed,Soybeans,x
2009/03,Canada,Seed crushed,Soybeans,x
2009/04,Canada,Seed crushed,Soybeans,x
2009/05,Canada,Seed crushed,Soybeans,x
2009/06,Canada,Seed crushed,Soybeans,x
2009/07,Canada,Seed crushed,Soybeans,x
2009/08,Canada,Seed crushed,Soybeans,x
2009/09,Canada,Seed crushed,Soybeans,x
2009/10,Canada,Seed crushed,Soybeans,x
2009/11,Canada,Seed crushed,Soybeans,x
2009/12,Canada,Seed crushed,Soybeans,x
2010/01,Canada,Seed crushed,Soybeans,x
2010/02,Canada,Seed crushed,Soybeans,x
2010/03,Canada,Seed crushed,Soybeans,x
2010/04,Canada,Seed crushed,Soybeans,x
2010/05,Canada,Seed crushed,Soybeans,x
2010/06,Canada,Seed crushed,Soybeans,x
2010/07,Canada,Seed crushed,Soybeans,x
2010/08,Canada,Seed crushed,Soybeans,x
2010/09,Canada,Seed crushed,Soybeans,x
2010/10,Canada,Seed crushed,Soybeans,x
2010/11,Canada,Seed crushed,Soybeans,x
2010/12,Canada,Seed crushed,Soybeans,x
